,name,xP,bps,creativity,ict_index,influence,opponent_team,threat,total_points,was_home,GW,Shots on target 
12858,Jordan Ayew,2.6,-4,3.6,2.9,5.8,14,20,1,0,,
12867,Michail Antonio,6.6,18,21.6,12.6,34.8,2,70,8,0,,
12868,Callum Wilson,4.8,10,17.1,6.3,12,6,34,5,1,,
12873,Leonardo Campana,-0.5,0,0,0,0,1,0,0,1,,
12876,Keinan Davis,0.2,0,0,0,0,19,0,0,1,,
12877,Odion Ighalo,0,0,0,0,0,16,0,0,1,,
12885,Olivier Giroud,0.8,0,0,0,0,17,0,0,0,,
12893,Rhian Brewster,1.5,0,0,0,0,18,0,0,1,,
12904,Andy Carroll,0.8,3,0.3,3.6,3,6,33,1,1,,
12917,Willian José Da Silva,2.2,18,19.4,4.5,6.8,1,19,5,1,,
12920,Indiana Vassilev,0,0,0,0,0,19,0,0,1,,
12922,Wesley Moraes,0,0,0,0,0,19,0,0,1,,
12923,Sébastien Haller,0,0,0,0,0,2,0,0,0,,
12924,Matej Vydra,-0.5,3,4.8,1.5,0,12,12,2,1,,
12926,Billy Sharp,4.1,32,2.7,6.4,36.2,18,25,9,1,,
12930,Rodrigo Moreno,0.5,0,0,0,0,7,0,0,1,,
12936,Islam Slimani,0,0,0,0,0,8,0,0,0,,
12944,Jordan Hugill,0,0,0,0,0,2,0,0,0,,
12945,Alexandre Lacazette,3.5,10,12.2,3.1,16.6,20,2,4,0,,
12951,Tammy Abraham,1,0,0,0,0,17,0,0,0,,
12955,Lewis Richardson,-1.5,0,0,0,0,12,0,0,1,,
12961,Cenk Tosun,0,0,0,0,0,10,0,0,0,,
12963,Mbaye Diagne,4,6,1.7,3.7,2.6,15,33,5,0,,
12968,Divock Origi,2.2,4,10.5,2,7,3,2,1,1,,
12984,Dwight Gayle,0.5,3,0.5,0.1,0,6,0,1,1,,
12987,Liam Delap,1.5,0,0,0,0,4,0,0,0,,
12997,Aaron Connolly,1.2,3,1.6,1.5,0,4,15,2,0,,
13008,Raúl Jiménez,0,0,0,0,0,9,0,0,1,,
13012,Jean-Philippe Mateta,0.5,8,11.9,2.1,9.2,10,0,2,0,,
13020,Neal Maupay,3.3,2,12.3,2.4,0,4,12,2,0,,
13021,Moise Kean,0,0,0,0,0,13,0,0,0,,
13039,Niall Huggins,0,0,0,0,0,6,0,0,1,,
13040,Shane Long,0,0,0,0,0,14,0,0,0,,
13047,Jamie Vardy,1.3,0,2.3,1.1,1,20,8,1,0,,
13051,Léo Bonatini,0,0,0,0,0,9,0,0,1,,
13060,Kelechi Iheanacho,2.2,5,34.2,5.2,1.4,20,16,2,0,,
13067,Gabriel Fernando de Jesus,4.3,13,11.1,3,18.6,11,0,4,0,,
13073,Kenneth Zohore,0,0,0,0,0,17,0,0,0,,
13089,Richarlison de Andrade,1.3,-2,4.9,2,1.6,13,13,2,0,,
13091,Danny Welbeck,0,3,0.3,1,2,4,8,1,0,,
13092,Edward Nketiah,0.8,0,0,0,0,2,0,0,0,,
13094,Timo Werner,3.7,26,19.3,6.7,21.2,15,26,10,0,,
13099,Ollie Watkins,4.7,29,14.3,10.2,40.8,1,47,9,1,,
13103,Roberto Firmino,3,8,17.8,4.6,7.4,12,21,2,1,,
13176,Dane Scarlett,2.1,3,0,0,0,18,0,1,1,,
13180,Che Adams,2.4,20,25.3,6.4,5.4,14,33,5,0,,
13181,Hal Robson-Kanu,-0.5,0,0,0,0,17,0,0,0,,
13182,Andi Zeqiri,0.7,0,0,0,0,4,0,0,0,,
13185,Carlos Vinicius Alves Morais,1.8,0,0,0,0,18,0,0,1,,
13193,Christian Benteke,1.5,3,0.4,2.3,5.4,10,17,1,0,,
13195,Joshua King,0.5,1,0.8,0.3,2.4,13,0,1,0,,
13209,Cheikh Diaby,-1,0,0,0,0,17,0,0,0,,
13240,Charlie Austin,0,0,0,0,0,17,0,0,0,,
13243,Ashley Barnes,0.6,3,12.1,6,0,3,49,2,1,,
13274,Albian Ajeti,0,0,0,0,0,8,0,0,0,,
