,name,xP,bps,creativity,ict_index,influence,opponent_team,threat,total_points,was_home
841,Oskar Buur,-0.5,0,0.0,0.0,0.0,12,0.0,0,1
844,Pablo Marí,0.0,0,0.0,0.0,0.0,19,0.0,0,1
846,Pascal Struijk,0.0,0,0.0,0.0,0.0,8,0.0,0,1
848,Patrick van Aanholt,0.0,0,0.0,0.0,0.0,13,0.0,0,0
850,Paul Dummett,0.0,0,0.0,0.0,0.0,3,0.0,0,1
853,Phil Bardsley,-1.5,4,1.0,1.9,11.8,9,6.0,-1,0
855,Phil Jagielka,0.5,0,0.0,0.0,0.0,2,0.0,0,0
856,Phil Jones,0.0,0,0.0,0.0,0.0,6,0.0,0,1
861,Reece James,7.0,15,5.0,3.2,24.8,11,2.0,1,1
865,Ricardo Domingos Barbosa Pereira,0.0,0,0.0,0.0,0.0,4,0.0,0,1
872,Robin Koch,0.5,9,0.3,3.4,12.4,8,21.0,1,1
873,Rob Holding,4.5,16,0.3,1.4,13.6,19,0.0,2,1
878,Romain Saïss,7.0,11,0.4,1.4,11.2,12,2.0,1,1
882,Ryan Bennett,-1.0,0,0.0,0.0,0.0,12,0.0,0,1
883,Ryan Bertrand,0.0,7,2.8,1.2,5.4,17,4.0,-1,1
885,Ryan Fredericks,1.0,20,21.9,5.3,26.8,1,4.0,3,0
886,Ryan Inniss,0.5,0,0.0,0.0,0.0,13,0.0,0,0
887,Ryan Sessegnon,0.5,0,0.0,0.0,0.0,16,0.0,0,0
889,Rúben Gonçalo Silva Nascimento Vinagre,-0.5,7,2.0,1.7,14.8,12,0.0,1,1
893,Sam Woods,-0.4,0,0.0,0.0,0.0,13,0.0,0,0
895,Scott Dann,3.0,0,0.0,0.0,0.0,13,0.0,0,0
897,Sead Kolasinac,1.5,9,5.4,1.3,3.6,19,4.0,2,1
898,Seamus Coleman,4.0,14,4.6,2.3,12.0,18,6.0,1,1
900,Serge Aurier,0.4,0,0.0,0.0,0.0,16,0.0,0,0
903,Shane Duffy,0.0,0,0.0,0.0,0.0,14,0.0,0,0
905,Shkodran Mustafi,0.0,0,0.0,0.0,0.0,19,0.0,0,1
908,Sokratis Papastathopoulos,0.0,0,0.0,0.0,0.0,19,0.0,0,1
914,Stuart Dallas,2.0,18,3.7,2.9,21.2,8,4.0,1,1
920,Tariq Lamptey,3.0,12,0.9,2.7,4.8,14,21.0,4,0
921,Teden Mengi,0.5,0,0.0,0.0,0.0,6,0.0,0,1
924,Thiago Thiago,0.0,0,0.0,0.0,0.0,11,0.0,0,1
925,Timothy Castagne,12.0,32,24.7,6.2,28.8,4,8.0,9,1
926,Timothy Fosu-Mensah,0.5,17,30.5,6.4,17.8,6,16.0,0,1
928,Tim Ream,0.5,0,0.0,0.0,0.0,10,0.0,0,0
929,Toby Alderweireld,1.5,0,0.0,0.0,0.0,16,0.0,0,0
935,Trent Alexander-Arnold,4.5,27,33.8,5.4,9.6,5,11.0,7,0
937,Tyrick Mitchell,5.0,16,1.2,1.3,12.0,13,0.0,5,0
938,Tyrone Mings,9.5,35,12.7,5.1,31.8,15,6.0,10,1
